,country,egis_product,manufacturer,product,product_id,pack,pack_size,reimb_categ,reimbursment_per_unit,tablet_price_base,tablet_amount_base,product_units_base,lc_value_base,tablet_price_0p,tablet_amount_0p,product_units_0p,lc_value_0p,tablet_price_5p,tablet_amount_5p,product_units_5p,lc_value_5p,tablet_price_10p,tablet_amount_10p,product_units_10p,lc_value_10p,lc_value_w_reimb_0p,lc_value_w_reimb_5p,lc_value_w_reimb_10p,lc_value_abs_diff_5p,lc_value_perc_diff_5p,lc_value_abs_diff_10p,lc_value_perc_diff_10p
0,HU,DULOXETINE-A (default),ELI LILLY,CYMBALTA,HU1659,CAPS ENTERIC 60MGG 28,28,0%,0.0,169.388,932204,33293,157903705,169.388,930745,33241,157656595,177.857,933268,33331,165988142,186.326,923072,32967,171992558,157656595.0,165988142.0,171992558.0,8331547.0,5.284616859827525,14335963.0,9.093157821910335
0,HU,DULOXETINE-A (default),GEDEON RICHTER,DUCILTIA,HU2261,ENTER.H.CAPS 60MG 28,28,0%,0.0,128.288,2621472,93624,336302089,128.288,2739120,97826,351394915,134.702,2275427,81265,306504309,141.116,2280031,81430,321749370,351394915.0,306504309.0,321749370.0,-44890606.0,-12.774973138128647,-29645545.0,-8.436532156420078
0,HU,DULOXETINE-A (default),KRKA,DULSEVIA,HU1660,CAPS ENTERIC 60MG 30,30,0%,0.0,131.53,2051370,68379,269816696,131.53,2089527,69651,274835539,138.106,1754761,58492,242343870,144.683,1749772,58326,253162200,274835539.0,242343870.0,253162200.0,-32491669.0,-11.82222252559557,-21673339.0,-7.885930283564965
0,HU,DULOXETINE-A (default),KRKA,DULSEVIA,HU1657,CAPS ENTERIC 30MG 30,30,0%,0.0,119.91,1213140,40438,145467617,119.91,1249248,41642,149797371,125.906,1185017,39501,149200115,131.901,1096755,36558,144663047,149797371.0,149200115.0,144663047.0,-597256.0,-0.398709267067177,-5134324.0,-3.4275127565489782
0,HU,DULOXETINE-A (default),GEDEON RICHTER,DUCILTIA,HU2254,ENTER.H.CAPS 30MG 28,28,0%,0.0,116.738,1667540,59555,194664451,116.738,1720092,61432,200799212,122.574,1405215,50186,172243362,128.411,1407614,50272,180753468,200799212.0,172243362.0,180753468.0,-28555850.0,-14.221096644542609,-20045744.0,-9.982979415277784
0,HU,DULOXETINE-A (default),KRKA,DULSEVIA,HU1661,CAPS ENTERIC 90MG 30,30,0%,0.0,203.175,425670,14189,86485502,203.175,474962,15832,96500461,213.334,474962,15832,101325484,223.493,474962,15832,106150507,96500461.0,101325484.0,106150507.0,4825023.0,4.999999948186776,9650046.0,9.999999896373552
0,HU,DULOXETINE-A (default),ELI LILLY,CYMBALTA,HU1653,CAPS ENTERIC 30MG 28,28,0%,0.0,155.588,441308,15761,68662008,155.588,448268,16010,69744876,163.367,482247,17223,78783203,171.146,482247,17223,82534784,69744876.0,78783203.0,82534784.0,9038327.0,12.959126918513697,12789908.0,18.33813282570034
0,HU,VENLAFAXINE-B (default),MEDICO UNO,FAXIPROL,HU2478,F.TABS RETAR 150MG 30,30,Molecule fix,281.4,28.07,592980,19766,16644949,28.07,567315,18910,15924521,29.474,539800,17993,15909791,30.877,539800,17993,16667400,21245795.0,20973021.2,21730630.2,-272773.80000000075,-1.2838954720216436,484835.19999999925,2.28202898502974
0,HU,VENLAFAXINE-B (default),KRKA,OLWEXYA,HU1674,CAPS L.A 150MG 30,30,Molecule fix,281.4,33.67,2298540,76618,77391842,33.67,2382931,79431,80233274,35.354,2358556,78619,83383220,37.037,2358556,78619,87353849,102585157.4,105506606.6,109477235.6,2921449.199999988,2.8478283545529637,6892078.199999988,6.718397061210717
0,HU,VENLAFAXINE-B (default),KRKA,OLWEXYA,HU1703,CAPS L.A 75MG 30,30,25%,119.7,24.675,2513520,83784,62021106,24.675,2590136,86338,63911610,25.909,2590136,86338,67107190,27.143,2590136,86338,70302771,74246268.6,77441848.6,80637429.6,3195580.0,4.304027744769385,6391161.0,8.608056836407805
